deelnemer,apparaat,taak,zonder_hulp_gelukt,tijd_seconden,begrijpt_concept_live,onbedoeld_gepubliceerd,letterlijke_opmerking,verbeterpunt
Deelnemer 1,,Openingstijden aanpassen,,,,,,
Deelnemer 1,,Uitleggen wat bezoekers nu zien,,,,,,
Deelnemer 1,,Bekijken en publiceren,,,,,,
Deelnemer 1,,Foto vervangen (juiste testomgeving),,,,,,
Deelnemer 1,,Concept weggooien,,,,,,
Deelnemer 2,,Openingstijden aanpassen,,,,,,
Deelnemer 2,,Uitleggen wat bezoekers nu zien,,,,,,
Deelnemer 2,,Bekijken en publiceren,,,,,,
Deelnemer 2,,Foto vervangen (juiste testomgeving),,,,,,
Deelnemer 2,,Concept weggooien,,,,,,
Deelnemer 3,,Openingstijden aanpassen,,,,,,
Deelnemer 3,,Uitleggen wat bezoekers nu zien,,,,,,
Deelnemer 3,,Bekijken en publiceren,,,,,,
Deelnemer 3,,Foto vervangen (juiste testomgeving),,,,,,
Deelnemer 3,,Concept weggooien,,,,,,
